한국	Korea	 <p>Common Usages:<br/> 한국 사람 = Korean person<br/> 한국어 = Korean language (For Korean people, Korean language class is called “국어 (수업)”)<br/> 한국인 = Korean person<br/> 한국 역사 = Korean history (in school, Korean history class is usually called “한국사 (수업)”)<br/> 한국 문화 = Korean culture<br/> 한국 경제 = Korean economy<br/> 한국 전쟁 = the Korean War<br/> 한국주식시장 = Korean stock market<br/> 한국어능력시험 = Test of Proficiency in Korean (TOPIK)</p> <p>Notes: The formal name of the country is 대한민국</p> <p>Examples<br/> 저는 7년 동안 <strong>한국</strong>에서 살았어요 = I lived in <strong>Korea</strong> for seven years<br/> 저는 내년에 <strong>한국</strong>에 갈 거예요 = I will go to <strong>Korea</strong> next year<br/> 저의 어머니는 올해 <strong>한국</strong>에 올 것입니다 = My mom will come to <strong>Korea</strong> this year<br/> 저는 한국어를 <strong>한국</strong>에서 배웠어요 = I learned Korean in <strong>Korea<br/> </strong>고등학교는 <strong>한국</strong>에서 어려워요 = High school is difficult in <strong>Korea<br/> </strong>그 집은 <strong>한국</strong>에서 지어졌어요 = that house was built in <strong>Korea<br/> </strong>저는 <strong>한국</strong>에서 살고 있어요 = I live in <strong>Korea</strong></p>
도시	city	 <p>Common Usages:<br/> 대도시 = a large city<br/> 신도시 = a new city (usually a city that is planned to serve a specific purpose)<br/> 도시가스 = the gas that is used in one’s home (by the heating systems and stoves)<br/> 도시남자 = a city boy/man (kind of a “cool” and “cold” style of man)</p> <p>Example:<br/> 서울은 큰 <strong>도시</strong>예요 = Seoul is a big <strong>city<br/> </strong>어느 <strong>도시</strong>에 갈 거예요? = What <strong>city</strong> are you going to go to?<br/> 이 <strong>도시</strong>는 분위기가 좋아요 = This <strong>city</strong> has a good atmosphere<br/> 서울 대신에 다른 <strong>도시</strong>에 갈 거예요? = Other than Seoul, will you go to another <strong>city</strong>?<br/> 강가에는 <strong>도시</strong>에서 내려온 많은 쓰레기가 쌓여 있어요 = A great deal of garbage that had flowed down from the <strong>city</strong> was piled on the riverbank</p>
이름	name	 <p>Common Usages<br/> 이름이 뭐예요? = What is your name?<br/> 제 이름은 __이에요 = My name is__<br/> 이름을 개명하다 = to change to one’s name<br/> 이름을 쓰다 = to write one’s name<br/> 이름을 부르다 = to call one’s name</p> <p>Examples<br/> 그 사람의 <strong>이름</strong>은 뭐예요? = What is that person’s <strong>name</strong>?<br/> 저의 <strong>이름</strong>은 김한성이에요 = My <strong>name</strong> is 김한성<br/> 저는 그 사람의 <strong>이름</strong>이 기억 안 나요 = I can’t remember that person’s name<br/> 저는 그의 <strong>이름</strong>을 불렀어요 = I called his name<br/> 덕석은 흔하지 않은 <strong>이름</strong>이에요 = “덕석” is not a common name<br/> 이 길의 <strong>이름</strong>이 뭐죠? = What is the <strong>name</strong> of this road/street?<br/> 친구 <strong>이름</strong>을 잊어버려서는 안 돼요 = You shouldn’t forget your friend’s <strong>name</strong></p>
저	I, me (formal)	 <p>Common Usages:<br/> 저는 = I<br/> 제가 = I<br/> 저의 = my</p> <p>Notes: When used as the subject of a sentence, 저 translates to “I,” when used as the object of a sentence, “저” translates to “me.” For example:</p> <p><strong>저</strong>는 그 여자를 사랑해요 = <strong>I</strong> love that girl<br/> 그 여자는 <strong>저</strong>를 사랑해요 = That girl loves <strong>me</strong></p> <p>저 changes to 제 when 이/가 are attached. See <a href="https://www.howtostudykorean.com/unit1/unit-1-lessons-1-8/unit-1-lesson-2/">Lesson 2</a> for more information. For example:</p> <p>제가 한국을 좋아해요 = I like Korea<br/> 저는 한국을 좋아해요 = I like Korea</p> <p>나 is used instead of 저 in informal situations.</p> <p>Examples<br/> <strong>저</strong>는 친구를 만났어요 =<strong> I</strong> met a friend<br/> <strong>저</strong>의 친구는 <strong>저</strong>를 만났어요 = <strong>My</strong> friend met <strong>me<br/> 저</strong>는 지난 주에 영화를 봤어요 = <strong>I</strong> saw a movie last week<br/> <strong>저</strong>는 삼일 동안 밥을 안 먹었어요 = <strong>I</strong> didn’t eat rice for 3 days</p>
나	I, me (informal)	 <p>Common Usages:<br/> 나는 = I<br/> 내가 = I<br/> 나의 = my</p> <p>Notes: When used as the subject of a sentence, 나 translates to “I,” when used as the object of a sentence, “나” translates to “me.” For example:</p> <p><strong>나</strong>는 그 여자를 사랑해 = <strong>I</strong> love that girl<br/> 그 여자는 <strong>나</strong>를 사랑해 = That girl loves <strong>me</strong></p> <p>나 changes to 내 when 이/가 are attached. See <a href="https://www.howtostudykorean.com/unit1/unit-1-lessons-1-8/unit-1-lesson-2/">Lesson 2</a> for more information. For example:</p> <p>내가 한국을 좋아해 = I like Korea<br/> 나는 한국을 좋아해 = I like Korea</p> <p>저 is used instead of 나 in formal situations.</p> <p>Examples<br/> <strong>나</strong>는 친구를 만났어 = I met a friend<br/> <strong>나</strong>의 친구는 <strong>나</strong>를 만났어 = <strong>My</strong> friend met <strong>me<br/> 나</strong>는 내년에 한국에 갈 거야 = <strong>I</strong> will go to Korea next year<br/> <strong>나</strong>는 사과 한 개를 샀어 =<strong> I</strong> bought one apple</p>
남자	man	 <p>Common Usages:<br/> 잘생긴 남자 = handsome man<br/> 강한 남자 = strong man<br/> 남자 친구 = boyfriend<br/> 도시 남자 = a city boy<br/> 남자화장실= men’s bathroom</p> <p>Examples<br/> 그는 잘생긴 <strong>남자</strong>예요 = He is a handsome <strong>man<br/> 남자</strong>는 방에 들어왔어요 = That <strong>man</strong> came into room<br/> 저는 잘생긴 <strong>남자</strong>를 만났어요 = I met a handsome <strong>man</strong><br/> 저의 친구는 주로 남자예요 = My friends are mostly <strong>men<br/> </strong>그 남자가 키가 너무 커요 = That <strong>man</strong> is very tall<br/> 어떤 남자는 어제 여기에 왔어 = Some <strong>man</strong> came here yesterday</p>
여자	woman	 <p>Common Usages<br/> 예쁜 여자 = pretty girl<br/> 아름다운 여자 = beautiful girl<br/> 여자 친구 = girlfriend<br/> 여자화장실 = women’s bathroom</p> <p>Examples<br/> 그녀는 예쁜 <strong>여자</strong>예요 = She is a beautiful <strong>girl<br/> </strong>그 <strong>여자</strong>의 머리 색깔은 자연스러워요 = That <strong>girl</strong>’s hair color is natural<br/> 저의 <strong>여자</strong> 친구는 귀엽고 예뻐요 = My <strong>girl</strong>friend is cute and pretty<br/> 저는 그 <strong>여자</strong>를 사랑해요 = I love that <strong>girl</strong></p>
이	this	 <p>Notes: Certain types of words can be placed before nouns to describe them. For example, adjectives can be placed before nouns to describe them (for example: a <u>pretty</u> girl). 이 is a type of word called a “관형사,” which isn’t an adjective, but is another type of word that can be placed before nouns to describe them. In English, “관형사” translates to a “modifier” or “a determiner.” 이 is placed before nouns within reaching distance to indicate that one is talking about “this” specific thing. For example:</p> <p>이 사람 = this person</p> <p>Other examples of determiners in Korean (and English) are:</p> <p>그 사람 = <u>that</u> person<br/> 모든 사람 = <u>all</u> people<br/> 어떤 사람 = <u>which</u> person</p> <p>It is easy to distinguish between a determiner and an adjective in Korean. Although both placed before nouns to “describe” them, the dictionary (ordinary) form of an adjective always ends in ~다 and must change in order to describe them. For example, 예쁘다 changes to 예쁜 when placed before a noun to describe it (See Lesson 3 for more information). Determiners keep their original form when placed before a noun. This might be too much grammar for you at this point, but make a note of it.</p> <p>Example:<br/> <strong>이</strong> 차는 너무 비싸요 = <strong>This</strong> car is too expensive<br/> <strong>이</strong> 방은 넓습니다 = <strong>This</strong> room is big/wide<br/> 저는 <strong>이</strong> 영화를 더 이상 보고 싶지 않아요 = I don’t want to watch <strong>this</strong> movie anymore<br/> <strong>이</strong> 고기는 돼지고기입니다 = <strong>This</strong> meat is pork<br/> <strong>이</strong> 사람은 저의 누나예요 = <strong>This</strong> (person) is my sister</p>
그	that	 <p>Notes: 그 is another example of a “관형사” in Korean. 그 is placed before nouns that are being referred to from context or a previous sentence. For example, if your father is talking about a specific person, you can refer to “that person” by saying “그 사람.”</p> <p>Common Usages:<br/> 그것 = that thing<br/> 그 사람 = that person</p> <p>See more information about 관형사 in my description of “이” above.</p> <p>Examples:<br/> <strong>그</strong> 남자는 저의 아버지예요 = <strong>That</strong> man is my father<br/> <strong>그</strong> 여자는 나랑 결혼하고 싶었어요 = <strong>That</strong> girl wanted to marry me<br/> 저는 <strong>그</strong> 책을 원해요 = I want <strong>that</strong> book<br/> <strong>그</strong> 병원은 멉니다 = <strong>That</strong> hospital is far<br/> <strong>그</strong> 여자의 머리카락은 깁니다 = <strong>That</strong> girls hair is long</p>
저	that (when something is far away)	 <p>Notes: 저 is another example of a “관형사” in Korean. 저 is placed before nouns that are far away (not within reach). For example, if you want to refer to the person across the street, you can refer to “that person” by saying “저 사람.”</p> <p>그 and 저 both translate to “that.” This often causes confusion for English speakers.</p> <p>Also notice that “저” has more than one meaning. Earlier, you saw that “저” means “I/me.” Welcome to the world of Korean! Where often times one word has more than one meaning.</p> <p>Common Usages:<br/> 저것 = that thing<br/> 저 사람 = that person</p> <p>See more information about 관형사 in my description of “이” above.</p> <p>Examples:<br/> <strong>저</strong> 사람은 누구예요? = Who is <strong>that</strong> person?<br/> 저는 <strong>저</strong> 케이크를 먹고 싶어요 = I want to eat <strong>that</strong> cake<br/> <strong>저</strong> 바지가 얼마예요? = How much are <strong>those</strong> pants?<br/> 저의 친구는 <strong>저</strong> 쪽으로 갔어요 = My friend went <strong>that</strong> way<br/> <strong>저</strong> 학교는 역사적인 건물이에요 = <strong>That</strong> school is a historical building<br/> 다음 버스는 <strong>저</strong> 정류장에서 출발할 거예요 = The next bus will depart from <strong>that</strong> station</p>
